Description,Monthly_Installment,List_Price,Model,Milleage,Gear_Type,Location
2018/2019 Honda Civic 1.5 TC VTEC Premium Sedan - TCP (A) Full Service Record Under,"RM 1,125 / month","RM 86,800",Honda Civic,100 - 105K KM,Automatic,"Selangor, Kajang"
2016 Toyota Camry 2.5 Hybrid Premium Sedan - (A) Full Service Record Under Push Start One Owner,RM 853 / month,"RM 65,800",Toyota Camry,125 - 130K KM,Automatic,"Selangor, Bandar Baru Bangi"
2016 Mazda CX-3 2.0 SKYACTIV SUV - 2WD (A) 1 OWNER NO PROCESSING CHARGE,RM 775 / month,"RM 59,800",Mazda CX-3,90 - 95K KM,Automatic,"Kuala Lumpur, Cheras"
2015 Suzuki Jimny 1.3 JLX SUV - (A) 1 OWNER NO PROCESSING CHARGE,"RM 1,062 / month","RM 81,888",Suzuki Jimny,85 - 90K KM,Automatic,"Kuala Lumpur, Cheras"
2015 Mercedes-Benz E250 2.0 AMG Sport Coupe - Mercedes Benz AMG with Number Plate 58,"RM 1,361 / month","RM 105,000",Mercedes-Benz E250,110 - 115K KM,Automatic,"Johor, Johor Bahru"
2014 Mercedes-Benz E200 2.0 Avantgarde Sedan,RM 998 / month,"RM 77,000",Mercedes-Benz E200,85 - 90K KM,Automatic,"Johor, Johor Bahru"
2015 Mercedes-Benz CLA200 1.6 Coupe - (With 1 Year Warranty),"RM 1,232 / month","RM 95,000",Mercedes-Benz CLA200,95 - 100K KM,Automatic,"Johor, Johor Bahru"
2018 Honda CR-V 1.5 TC VTEC SUV - TCP ELECTRIC SEAT PADDLE SHIFT WARRANTY,"RM 1,242 / month","RM 95,800",Honda CR-V,75 - 80K KM,Automatic,"Kuala Lumpur, Cheras"
2018 BMW 330e 2.0 M Sport Sedan - SUNROOF PADDLE SHIFT WARRANTY F30,"RM 1,035 / month","RM 79,800",BMW 330e,80 - 85K KM,Automatic,"Kuala Lumpur, Cheras"
2015 Porsche Macan 3.6 Turbo SUV - S (A) Sport Chrono Package Panoramic Sunroof Bose Surround Sound System 2.0,"RM 3,098 / month","RM 239,000",Porsche Macan,25 - 30K KM,Automatic,"Selangor, Serdang"
"2017 BMW 330e 2.0 M Sport Sedan - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 1,060 / month","RM 81,800",BMW 330e,145 - 150K KM,Automatic,"Penang, Bukit Mertajam"
"2018 Mercedes-Benz C180 1.6 Avantgarde Sedan - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 1,812 / month","RM 139,800",Mercedes-Benz C180,95 - 100K KM,Automatic,"Penang, Bukit Mertajam"
"2018 BMW X3 2.0 xDrive30i Luxury SUV - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 2,059 / month","RM 158,800",BMW X3,90 - 95K KM,Automatic,"Penang, Bukit Mertajam"
"2019 MINI Countryman 2.0 Cooper S Sports SUV - Cooper S (A) 1 YEAR WARRANTY, BMW PREMIUM SELECTION","RM 2,072 / month","RM 159,800",MINI Countryman,60 - 65K KM,Automatic,"Penang, Bukit Mertajam"
"2017 BMW 740Le 2.0 xDrive Sedan - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 2,318 / month","RM 178,800",N/A,65 - 70K KM,Automatic,"Penang, Bukit Mertajam"
"2017 Lexus RX200t 2.0 SUV - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 2,590 / month","RM 199,800",Lexus RX200t,60 - 65K KM,Automatic,"Penang, Bukit Mertajam"
2017 BMW 330e 2.0 M Sport Sedan - (A) 1 YEAR WARRANTY,"RM 1,238 / month","RM 95,500",BMW 330e,65 - 70K KM,Automatic,"Penang, Greenlane"
2016 MINI Clubman 2.0 Cooper S Wagon - Twin Turbo Engine F54 JCW 6-Door Car Tip-Top Condition,"RM 1,398 / month","RM 107,800",MINI Clubman,100 - 105K KM,Automatic,"Selangor, Seri Kembangan"
2014/2018 Mercedes-Benz CLA180 1.6 Coupe - NEW YEARS PROMOTIONS HIGH TRADE IN FASTER LOAN APPROVALS,"RM 1,281 / month","RM 98,800",Mercedes-Benz CLA180,95 - 100K KM,Automatic,"Johor, Senai"
2016 Mercedes-Benz E200 2.0 Avantgarde Sedan - AMG CBU (RARE Unit) (Full Spec) (Sunroof) (Keyless) (HUD) (Power Boot) (Offer Sales),"RM 2,204 / month","RM 170,000",Mercedes-Benz E200,70 - 75K KM,Automatic,"Johor, Johor Bahru"
2015 Inokom Santa Fe 2.2 CRDi Executive Plus SUV - SUNROOF HYUNDAI ACCIDENT FREE TIP TOP CONDITION,RM 646 / month,"RM 49,800",N/A,130 - 135K KM,Automatic,"Kuala Lumpur, Cheras"
2013 Mazda 6 2.5 SKYACTIV-G Sedan - SUNROOF HUD PADDLE WARRANTY,RM 503 / month,"RM 38,800",Mazda 6,115 - 120K KM,Automatic,"Kuala Lumpur, Cheras"
2017 Mitsubishi Triton 2.4 VGT Adventure X Dual Cab Pickup Truck - PADDLE SHIFT ELECTRIC SEAT 4X4 WARRANTY,RM 983 / month,"RM 75,800",Mitsubishi Triton,115 - 120K KM,Automatic,"Kuala Lumpur, Cheras"
2017 Hyundai Grand Starex 2.5 Royale Deluxe MPV - 360 CAMERA 12 SEATER CAREFUL OWNER WARRANTY,"RM 1,086 / month","RM 83,800",Hyundai Grand Starex,120 - 125K KM,Automatic,"Kuala Lumpur, Cheras"
2016 Mercedes-Benz S400L 3.5 Hybrid Sedan - AMG S400 PANORAMIC MASSAGE SEAT POWER BOOT WARRANTY,"RM 1,501 / month","RM 115,800",N/A,130 - 135K KM,Automatic,"Kuala Lumpur, Cheras"
2016/2020 Toyota Vellfire 2.5 Z Golden Eyes MPV - (A) (Free Warranty),"RM 2,383 / month","RM 183,800",Toyota Vellfire,90 - 95K KM,Automatic,"Johor, Johor Bahru"
2019/2022 Toyota Alphard 2.5 G S C Package MPV - (Free Warranty),"RM 3,109 / month","RM 239,800",Toyota Alphard,45 - 50K KM,Automatic,"Johor, Johor Bahru"
"2014 Mercedes-Benz CLA200 1.6 Coupe - , FREE 1 YEAR WARRANTY , PADDLE SHIFT , REVERSE CAMERA , AUTO CRUISE 1 OWNER","RM 1,086 / month","RM 83,800",Mercedes-Benz CLA200,120 - 125K KM,Automatic,"Selangor, Kajang"
2015 Honda CR-V 2.4 i-VTEC SUV,RM 853 / month,"RM 65,800",Honda CR-V,120 - 125K KM,Automatic,"Penang, Gelugor"
2017/2022 Mercedes-Benz G350 3.0 d SUV,"RM 5,689 / month","RM 438,800",Mercedes-Benz G350,20 - 25K KM,Automatic,"Selangor, Telok Panglima Garang"
2018 Toyota Hilux 2.4 G Dual Cab Pickup Truck - G,"RM 1,112 / month","RM 85,800",Toyota Hilux,70 - 75K KM,Automatic,"Selangor, Telok Panglima Garang"
2016/2018 Lexus LX570 5.7 SUV,"RM 4,911 / month","RM 378,800",N/A,65 - 70K KM,Automatic,"Selangor, Telok Panglima Garang"
2019 BMW 330e 2.0 M Sport Sedan - FULL SERVICE F30,"RM 1,216 / month","RM 93,800",BMW 330e,90 - 95K KM,Automatic,"Kuala Lumpur, Cheras"
2015 Nissan X-Trail 2.5 4WD SUV - 360 CAM HIGH SPEC,RM 568 / month,"RM 43,800",Nissan X-Trail,100 - 105K KM,Automatic,"Kuala Lumpur, Cheras"
2017 Toyota Camry 2.0 G X Sedan - TIP-TOP NO PROCESSING CHARGE,"RM 1,190 / month","RM 91,800",Toyota Camry,80 - 85K KM,Automatic,"Kuala Lumpur, Cheras"
2014 Kia Cerato 1.6 Sedan - NO PROCESSING CHARGE,RM 360 / month,"RM 27,800",Kia Cerato,130 - 135K KM,Automatic,"Kuala Lumpur, Cheras"
2013 Mazda 6 2.0 SKYACTIV-G Sedan - NO PROCESSING CHARGE,RM 503 / month,"RM 38,800",Mazda 6,135 - 140K KM,Automatic,"Kuala Lumpur, Cheras"
2015 Honda City 1.5 V i-VTEC Sedan - V (A) PUSH START HIGH SPEC TIPTOP CONDITION,RM 503 / month,"RM 38,800",Honda City,115 - 120K KM,Automatic,"Kuala Lumpur, Cheras"
2013 BMW 328i 2.0 M Sport Sedan - F30 ORIGINAL (1 YEAR WARRANTY) 2014,RM 906 / month,"RM 69,888",BMW 328i,125 - 130K KM,Automatic,"Selangor, Klang"
2014 BMW X6 3.0 xDrive35i SUV - (A) TWIN TURBO M SPORT WITH UNDER PREMIUM WARRANTY,"RM 1,101 / month","RM 84,888",BMW X6,70 - 75K KM,Automatic,"Selangor, Kajang"
2014 Honda Accord 2.4 i-VTEC VTi-L Sedan - (A) NO PROCESSING CHARGE 1 OWNER,RM 646 / month,"RM 49,800",Honda Accord,125 - 130K KM,Automatic,"Kuala Lumpur, Cheras"
2014 Mazda 6 2.5 SKYACTIV-G Sedan - MEMORY SEAT LEATHER SEAT REVERSE CAM REG 2015 WARRANTY,RM 594 / month,"RM 45,800",Mazda 6,95 - 100K KM,Automatic,"Kuala Lumpur, Cheras"
2014 Toyota Harrier 2.0 Premium Advanced SUV - (JBL 360 SURROUND CAMERA PANORAMIC ROOF) 2015,"RM 1,295 / month","RM 99,888",Toyota Harrier,90 - 95K KM,Automatic,"Selangor, Klang"
